Year,State Name,Dist Name,BARLEY HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal)
1966,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1972,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1974,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1975,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,75.6,-1.0
1977,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,80.0,-1.0
1978,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,83.2,120.9
1979,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,101.8,148.9
1980,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,107.6,181.4
1981,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,116.8,-1.0
1982,Chhattisgarh,Durg,-1.0,130.0,-1.0,-1.0,129.5,-1.0
1983,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,135.0,219.4
1984,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,128.4,183.7
1985,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,137.5,198.6
1986,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,141.9,196.6
1987,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,163.8,250.0
1988,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,182.5,326.7
1989,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,208.1,305.4
1990,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,230.0,329.0
1991,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,221.0,384.0
1992,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,448.0
1993,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,321.0,463.0
1994,Chhattisgarh,Durg,-1.0,575.0,-1.0,-1.0,349.0,491.0
1995,Chhattisgarh,Durg,342.0,900.0,303.0,407.0,500.0,452.0
1996,Chhattisgarh,Durg,-1.0,-1.0,463.0,498.0,-1.0,509.0
1997,Chhattisgarh,Durg,430.0,559.0,407.0,424.0,418.0,701.0
1998,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,452.0,606.0
1999,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,506.0,776.0
2000,Chhattisgarh,Durg,-1.0,1200.0,-1.0,-1.0,491.0,742.0
2001,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,507.0,755.0
2002,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,485.0,768.0
2003,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2004,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,557.0,638.0
2005,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,555.0,831.0
2006,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,593.0,1034.0
2007,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,697.0,1364.0
2008,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,882.0,1409.0
2009,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,927.0,1522.0
2010,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,1000.0,1485.0
2011,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,965.0,1356.0
2012,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,1256.0,1582.0
2013,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,1307.0,2000.0
2014,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,1395.0,1592.0
2015,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,1423.0,2327.0
2016,Chhattisgarh,Durg,-1.0,-1.0,-1.0,-1.0,1509.33,1828.0
1966,Chhattisgarh,Bastar,-1.0,-1.0,52.4,50.0,-1.0,-1.0
1967,Chhattisgarh,Bastar,-1.0,-1.0,42.4,67.0,-1.0,-1.0
1968,Chhattisgarh,Bastar,-1.0,-1.0,43.6,69.2,-1.0,-1.0
1969,Chhattisgarh,Bastar,-1.0,-1.0,49.9,56.9,-1.0,-1.0
1970,Chhattisgarh,Bastar,-1.0,-1.0,42.7,48.0,-1.0,-1.0
1971,Chhattisgarh,Bastar,-1.0,-1.0,39.8,-1.0,-1.0,-1.0
1972,Chhattisgarh,Bastar,-1.0,-1.0,52.5,-1.0,-1.0,-1.0
1973,Chhattisgarh,Bastar,-1.0,-1.0,78.9,-1.0,-1.0,-1.0
1974,Chhattisgarh,Bastar,-1.0,-1.0,103.2,-1.0,-1.0,-1.0
1975,Chhattisgarh,Bastar,-1.0,-1.0,76.9,-1.0,-1.0,-1.0
1976,Chhattisgarh,Bastar,-1.0,-1.0,69.3,-1.0,70.4,-1.0
1977,Chhattisgarh,Bastar,-1.0,-1.0,65.5,-1.0,73.8,-1.0
1978,Chhattisgarh,Bastar,-1.0,-1.0,67.7,67.5,71.3,125.7
1979,Chhattisgarh,Bastar,-1.0,-1.0,71.3,89.3,92.7,170.0
1980,Chhattisgarh,Bastar,-1.0,112.5,92.9,100.4,93.8,177.9
1981,Chhattisgarh,Bastar,-1.0,108.9,97.5,122.2,111.4,200.0
1982,Chhattisgarh,Bastar,-1.0,124.2,106.8,145.8,124.9,252.5
1983,Chhattisgarh,Bastar,-1.0,124.5,114.7,126.3,-1.0,293.0
1984,Chhattisgarh,Bastar,-1.0,198.0,104.4,98.5,-1.0,245.3
1985,Chhattisgarh,Bastar,-1.0,135.3,123.4,130.0,-1.0,226.5
1986,Chhattisgarh,Bastar,-1.0,135.5,120.0,126.2,-1.0,251.4
1987,Chhattisgarh,Bastar,-1.0,170.6,158.6,121.5,-1.0,262.3
1988,Chhattisgarh,Bastar,-1.0,182.1,150.6,148.1,-1.0,325.4
1989,Chhattisgarh,Bastar,-1.0,-1.0,154.2,151.1,177.8,326.0
1990,Chhattisgarh,Bastar,-1.0,-1.0,167.0,225.0,189.0,342.0
1991,Chhattisgarh,Bastar,-1.0,368.0,265.0,333.0,235.0,459.0
1992,Chhattisgarh,Bastar,-1.0,328.0,288.0,460.0,273.0,409.0
1993,Chhattisgarh,Bastar,-1.0,347.0,234.0,322.0,313.0,476.0
1994,Chhattisgarh,Bastar,-1.0,406.0,316.0,554.0,353.0,493.0
1995,Chhattisgarh,Bastar,342.0,358.0,324.0,422.0,449.0,601.0
1996,Chhattisgarh,Bastar,-1.0,540.0,426.0,589.0,-1.0,764.0
1997,Chhattisgarh,Bastar,430.0,561.0,315.0,424.0,418.0,697.0
1998,Chhattisgarh,Bastar,-1.0,535.0,331.0,417.0,416.0,805.0
1999,Chhattisgarh,Bastar,-1.0,628.0,405.0,492.0,458.0,838.0
2000,Chhattisgarh,Bastar,-1.0,589.0,395.0,500.0,499.0,949.0
2001,Chhattisgarh,Bastar,-1.0,-1.0,396.0,629.0,471.0,997.0
2002,Chhattisgarh,Bastar,-1.0,-1.0,500.0,-1.0,382.0,975.0
2003,Chhattisgarh,Bastar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2004,Chhattisgarh,Bastar,-1.0,624.0,-1.0,1000.0,506.0,1029.0
2005,Chhattisgarh,Bastar,-1.0,712.0,509.0,-1.0,545.0,1080.0
2006,Chhattisgarh,Bastar,-1.0,-1.0,545.0,450.0,583.0,1157.0
2007,Chhattisgarh,Bastar,-1.0,-1.0,558.0,1400.0,714.0,1296.0
2008,Chhattisgarh,Bastar,-1.0,1385.0,523.0,-1.0,934.0,1543.0
2009,Chhattisgarh,Bastar,-1.0,1061.0,827.0,-1.0,965.0,1700.0
2010,Chhattisgarh,Bastar,-1.0,1086.0,835.0,-1.0,1015.0,2000.0
2011,Chhattisgarh,Bastar,-1.0,-1.0,-1.0,-1.0,1173.0,2150.0
2012,Chhattisgarh,Bastar,-1.0,-1.0,800.0,-1.0,1268.0,1520.0
2013,Chhattisgarh,Bastar,-1.0,-1.0,1093.0,-1.0,1108.0,-1.0
2014,Chhattisgarh,Bastar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015,Chhattisgarh,Bastar,-1.0,-1.0,2800.0,-1.0,1297.0,-1.0
2016,Chhattisgarh,Bastar,-1.0,-1.0,1260.0,2550.0,1331.0,-1.0
1966,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1972,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,Chhattisgarh,Raipur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
